gene_id_base	gene_name	transcript_id	clip_points_3utr	clip_points_5utr	clip_points_cds	rna_control_reads_3utr	rna_control_reads_5utr	rna_control_reads_cds	region_length_3utr	region_length_5utr	region_length_cds
ENSMUSG00000045591	Olig3	ENSMUST00000053225.7	0	0	0	0	0	2	1157	96	819
ENSMUSG00000045594	Glb1	ENSMUST00000063042.11	58	17	631	85	12	484	339	116	1941
ENSMUSG00000045598	Zfp553	ENSMUST00000106312.4	131	4	199	119	38	251	1132	437	1773
ENSMUSG00000045608	Dbx2	ENSMUST00000054244.7	0	5	0	1	0	0	1131	1198	1131
ENSMUSG00000045613	Chrm2	ENSMUST00000172278.8	0	0	0	0	0	0	3807	471	1398
ENSMUSG00000045620	Odf3l1	ENSMUST00000055036.7	0	0	0	0	0	0	154	101	825
ENSMUSG00000045624	Esf1	ENSMUST00000046030.8	188	10	1483	30	30	367	732	129	2535
ENSMUSG00000045625	Pigz	ENSMUST00000052174.3	0	0	3	0	0	0	241	263	1680
ENSMUSG00000045629	Sh3tc2	ENSMUST00000051720.6	0	0	0	0	0	4	628	41	3867
ENSMUSG00000045631	Tmprss12	ENSMUST00000096200.6	0	0	4	0	0	3	308	46	1008
ENSMUSG00000045636	Mtus1	ENSMUST00000051379.14	141	0	230	74	10	56	2371	273	1320
ENSMUSG00000045639	Zfp629	ENSMUST00000058038.12	57	0	10	20	2	12	3004	515	2601
ENSMUSG00000045648	Vwc2l	ENSMUST00000053922.12	0	0	0	0	0	0	3185	804	666
ENSMUSG00000045655	Fam216b	ENSMUST00000066437.5	0	0	0	0	0	0	1727	100	414
ENSMUSG00000045657	Pcdhb10	ENSMUST00000051126.4	0	0	0	0	0	0	251	209	2391
ENSMUSG00000045658	Pid1	ENSMUST00000168574.9	13	4	0	11	5	15	1738	275	651
ENSMUSG00000045659	Plekha7	ENSMUST00000181998.8	315	0	584	72	0	688	1308	43	3798
ENSMUSG00000045662	Henmt1	ENSMUST00000059946.11	0	0	0	0	0	0	341	472	1185
ENSMUSG00000045664	Cdc42ep2	ENSMUST00000055458.6	0	0	2	22	8	1	2398	371	642
ENSMUSG00000045665	Mfsd5	ENSMUST00000051341.6	164	5	291	46	16	276	210	194	1350
ENSMUSG00000045667	Smtnl2	ENSMUST00000050226.7	472	2	130	187	27	547	1176	80	1368
ENSMUSG00000045671	Spred2	ENSMUST00000093298.12	339	135	382	99	35	250	1133	489	1230
ENSMUSG00000045672	Col27a1	ENSMUST00000036300.13	0	0	0	1	2	19	1686	391	5535
ENSMUSG00000045678	Olfr1489	ENSMUST00000217182.3	20	0	0	3	0	0	9936	265	939
ENSMUSG00000045679	Pqlc3	ENSMUST00000054536.11	98	0	30	13	1	22	1159	163	606
ENSMUSG00000045680	Tcf21	ENSMUST00000049930.9	0	0	0	0	0	0	459	271	537
ENSMUSG00000045684	Lcn6	ENSMUST00000114199.8	0	0	0	0	0	0	156	30	543
ENSMUSG00000045689	Pcdhb4	ENSMUST00000056712.4	0	0	0	0	0	1	1182	184	2352
ENSMUSG00000045690	Wdr89	ENSMUST00000062370.9	448	0	155	4073	11	90	1725	96	1158
ENSMUSG00000045691	Thtpa	ENSMUST00000050575.9	76	4	16	39	24	28	1482	676	672
ENSMUSG00000045693	Nlrp4e	ENSMUST00000076470.5	0	0	0	0	0	3	358	90	2934
ENSMUSG00000045699	Gm21411	ENSMUST00000049821.4	0	33	112	3	441	474	2	340	408
ENSMUSG00000045708	Olfr447	ENSMUST00000216408.2	0	0	0	0	0	0	1819	436	930
ENSMUSG00000045725	Prr15	ENSMUST00000059138.6	0	0	0	1	0	0	577	568	366
ENSMUSG00000045730	Adrb2	ENSMUST00000053640.5	38	0	4	0	1	4	683	207	1254
ENSMUSG00000045731	Pnoc	ENSMUST00000059339.6	0	0	7	0	0	0	1237	359	561
ENSMUSG00000045733	Sprn	ENSMUST00000059241.8	0	1	0	0	0	0	2589	344	441
ENSMUSG00000045744	Bricd5	ENSMUST00000054946.10	0	0	0	0	0	0	138	337	522
ENSMUSG00000045751	Mms22l	ENSMUST00000050446.13	8	15	747	46	68	547	303	364	3594
ENSMUSG00000045752	Tssc4	ENSMUST00000060433.10	78	20	130	16	30	152	186	382	951
ENSMUSG00000045757	Zfp764	ENSMUST00000059199.7	11	0	7	28	2	41	997	218	1293
ENSMUSG00000045761	Togaram2	ENSMUST00000097284.10	0	3	0	0	0	0	147	350	3006
ENSMUSG00000045763	Basp1	ENSMUST00000058845.9	206	60	95	172	28	71	955	222	678
ENSMUSG00000045767	B230219D22Rik	ENSMUST00000057844.10	639	12	64	325	15	68	3861	227	564
ENSMUSG00000045775	Slc16a5	ENSMUST00000106532.4	0	0	0	0	0	0	1480	135	447
ENSMUSG00000045776	Lrtm1	ENSMUST00000055662.4	0	0	0	0	0	0	5894	359	1068
ENSMUSG00000045777	Ifitm10	ENSMUST00000059223.15	0	0	0	1	5	0	2436	490	486
ENSMUSG00000045780	Olfr624	ENSMUST00000062144.4	20	1	0	138	0	0	4645	162	924
ENSMUSG00000045790	Ccdc149	ENSMUST00000059428.7	0	0	4	0	0	2	1600	123	1572
ENSMUSG00000045792	Olfr578	ENSMUST00000215606.2	7	0	0	4	0	0	2616	110	939
ENSMUSG00000045794	Lkaaear1	ENSMUST00000052416.4	0	0	0	0	0	0	80	44	594
ENSMUSG00000045795	Whamm	ENSMUST00000165460.2	0	0	147	7	2	52	660	30	2379
ENSMUSG00000045797	4930402K13Rik	ENSMUST00000059967.2	0	0	0	0	0	0	424	112	1245
ENSMUSG00000045802	Hsf3	ENSMUST00000059003.5	0	0	11	0	0	0	3	0	1476
ENSMUSG00000045812	Olfr984	ENSMUST00000213858.2	20	0	0	11	0	0	4032	212	942
ENSMUSG00000045817	Zfp36l2	ENSMUST00000060366.7	576	5	26	106	25	143	1825	253	1452
ENSMUSG00000045822	Zswim3	ENSMUST00000052107.5	3	0	71	22	10	90	444	179	2085
ENSMUSG00000045824	Olfr574	ENSMUST00000052997.6	0	0	0	0	0	0	3	0	1038
ENSMUSG00000045826	Ptprcap	ENSMUST00000061086.9	0	0	8	1	1	3	241	95	591
ENSMUSG00000045827	Serpinb9	ENSMUST00000006391.5	6	0	9	0	1	2	2110	165	1122
ENSMUSG00000045835	Hdgfl1	ENSMUST00000055915.6	0	0	0	0	0	7	1067	77	849
ENSMUSG00000045838	Ccdc9b	ENSMUST00000059997.9	0	0	0	0	0	1	3059	9	1635
ENSMUSG00000045854	Lyrm2	ENSMUST00000062802.5	0	0	42	8	1	11	163	38	264
ENSMUSG00000045867	Cradd	ENSMUST00000053594.7	56	0	8	11	4	21	934	130	597
ENSMUSG00000045868	Gvin1	ENSMUST00000183409.2	0	0	0	0	0	0	1424	300	7281
ENSMUSG00000045871	Slitrk6	ENSMUST00000078386.4	0	0	0	0	0	0	1174	546	2520
ENSMUSG00000045875	Adra1a	ENSMUST00000054661.8	4	0	0	0	0	0	1806	933	1398
ENSMUSG00000045876	Pcdhb8	ENSMUST00000051163.3	0	0	0	0	0	0	997	0	2337
ENSMUSG00000045883	Olfr1461	ENSMUST00000207113.3	0	0	0	0	0	0	2179	366	936
ENSMUSG00000045886	Gm9803	ENSMUST00000057649.8	0	0	17	16	11	66	104	84	375
ENSMUSG00000045896	Paip2b	ENSMUST00000058383.9	1560	0	189	653	39	143	3438	136	408
ENSMUSG00000045903	Npas4	ENSMUST00000056129.9	0	0	0	0	0	0	716	500	2406
ENSMUSG00000045912	C2cd4c	ENSMUST00000059699.9	4	0	0	2	0	0	5201	271	1257
ENSMUSG00000045915	Ccdc42	ENSMUST00000102612.2	0	0	0	0	0	0	230	48	507
ENSMUSG00000045917	Tmem268	ENSMUST00000077709.11	51	10	35	33	9	14	2395	344	1026
ENSMUSG00000045930	Clec14a	ENSMUST00000062254.4	0	0	0	0	0	0	2738	456	1377
ENSMUSG00000045932	Ifit2	ENSMUST00000102826.4	14	0	23	2	0	2	1948	460	1410
ENSMUSG00000045934	Mtmr11	ENSMUST00000054356.16	0	0	12	2	1	16	489	189	2100
ENSMUSG00000045942	BC049762	ENSMUST00000065950.10	0	0	0	0	0	0	145	249	489
ENSMUSG00000045948	Mrps12	ENSMUST00000056078.9	130	30	87	49	12	113	230	75	417
ENSMUSG00000045954	Cavin2	ENSMUST00000051572.8	0	0	6	0	0	0	1541	260	1254
ENSMUSG00000045962	Wnk1	ENSMUST00000060043.13	1522	2	3320	369	124	1682	2404	1040	7131
ENSMUSG00000045967	Gpr158	ENSMUST00000055946.8	0	0	0	0	0	0	2857	714	3600
ENSMUSG00000045968	Teddm2	ENSMUST00000123490.2	0	0	0	0	0	0	805	425	621
ENSMUSG00000045969	Ing1	ENSMUST00000054399.6	347	1	341	208	27	274	1133	844	837
ENSMUSG00000045973	Slc25a51	ENSMUST00000116341.4	307	0	30	147	13	54	3321	223	894
ENSMUSG00000045975	C2cd2	ENSMUST00000170757.3	103	0	208	14	2	35	4150	318	2088
ENSMUSG00000045980	Tmem104	ENSMUST00000061450.7	88	9	90	38	8	44	2896	180	1488
ENSMUSG00000045983	Eif4g1	ENSMUST00000044783.14	390	40	11389	359	199	5152	456	188	4800
ENSMUSG00000045989	4930451I11Rik	ENSMUST00000061695.5	0	0	0	0	0	0	132	16	333
ENSMUSG00000045991	Onecut2	ENSMUST00000175965.10	18	0	0	4	0	2	14359	360	1515
ENSMUSG00000045994	B3gat1	ENSMUST00000160899.8	6	0	0	1	1	0	2219	541	1041
ENSMUSG00000045996	Polr2k	ENSMUST00000180159.8	8	19	7	8	26	40	234	81	174
ENSMUSG00000046000	Naa11	ENSMUST00000060265.6	78	6	12	38	3	13	2688	82	654
ENSMUSG00000046006	Gapt	ENSMUST00000058806.7	0	5	0	0	0	0	1041	557	471
ENSMUSG00000046008	Pnlip	ENSMUST00000057270.9	0	0	0	0	0	1	64	28	1395
ENSMUSG00000046010	Zfp830	ENSMUST00000056677.8	91	0	195	21	4	137	475	27	1089
ENSMUSG00000046016	Olfr1364	ENSMUST00000213912.2	0	0	2	0	0	0	1700	477	942
ENSMUSG00000046020	Pofut1	ENSMUST00000049863.12	513	0	81	155	2	60	4367	54	1179
ENSMUSG00000046027	Stard5	ENSMUST00000075418.15	81	0	43	35	2	30	1762	82	639
ENSMUSG00000046031	Calhm6	ENSMUST00000062784.8	10	0	13	0	0	3	80	75	939
ENSMUSG00000046032	Snx12	ENSMUST00000120389.8	383	2	170	102	29	148	1806	123	486
ENSMUSG00000046034	Otulin	ENSMUST00000059662.8	79	0	340	48	7	172	351	84	1056
ENSMUSG00000046041	Olfr803	ENSMUST00000204641.3	4	0	0	0	0	0	495	966	924
ENSMUSG00000046049	Rp1l1	ENSMUST00000058229.6	0	0	0	0	0	0	963	144	5577
ENSMUSG00000046056	Sbsn	ENSMUST00000080518.14	5	0	0	1	0	0	146	29	2046
ENSMUSG00000046058	Eid2	ENSMUST00000059596.8	53	0	8	24	5	47	610	74	708
ENSMUSG00000046062	Ppp1r15b	ENSMUST00000052529.4	7799	98	7430	578	135	473	2899	604	2091
ENSMUSG00000046070	Igfals	ENSMUST00000050714.8	4	0	16	1	2	8	265	551	1809
ENSMUSG00000046079	Lrrc8d	ENSMUST00000120847.8	359	321	584	33	11	124	908	444	2577
ENSMUSG00000046080	Clec9a	ENSMUST00000088075.8	0	0	0	0	0	0	214	92	714
ENSMUSG00000046082	Tmem174	ENSMUST00000050389.5	0	0	0	0	0	0	1433	90	729
ENSMUSG00000046085	4931422A03Rik	ENSMUST00000056170.4	0	0	0	0	0	0	103	595	339
ENSMUSG00000046093	Hpcal4	ENSMUST00000059667.9	11	0	0	5	0	2	3849	509	573
ENSMUSG00000046095	Krt32	ENSMUST00000107419.2	0	0	0	0	0	0	305	0	1359
ENSMUSG00000046096	Mosmo	ENSMUST00000060175.8	368	0	50	73	0	38	4196	134	501
ENSMUSG00000046101	Mcmdc2	ENSMUST00000052843.12	0	0	8	10	0	9	1688	97	1041
ENSMUSG00000046108	Il17c	ENSMUST00000050963.4	0	0	0	0	0	0	74	99	546
ENSMUSG00000046110	Serinc4	ENSMUST00000056312.10	2	0	0	0	0	0	847	228	1476
ENSMUSG00000046111	Cep295	ENSMUST00000098979.11	0	0	2027	0	0	439	3	45	7140
ENSMUSG00000046130	Vmn1r184	ENSMUST00000227232.2	1	0	0	3	0	0	2847	4683	942
ENSMUSG00000046133	C130073F10Rik	ENSMUST00000051043.4	0	0	40	1	6	9	208	102	603
ENSMUSG00000046138	9930021J03Rik	ENSMUST00000177155.8	115	0	492	12	3	223	436	115	6081
ENSMUSG00000046139	Patl1	ENSMUST00000061618.9	110	0	965	165	4	376	1742	164	2310
ENSMUSG00000046150	Olfr918	ENSMUST00000055099.2	0	0	0	0	0	0	3	0	975
ENSMUSG00000046152	Fut10	ENSMUST00000161502.2	94	23	54	21	9	27	1608	476	1443
ENSMUSG00000046157	Tmem229b	ENSMUST00000056660.13	65	0	0	28	1	7	2855	504	501
ENSMUSG00000046159	Chrm3	ENSMUST00000187510.7	0	0	0	0	0	1	1746	823	1767
ENSMUSG00000046160	Olig1	ENSMUST00000056882.7	0	0	0	1	0	0	1277	105	780
ENSMUSG00000046167	Gldn	ENSMUST00000056740.6	5	0	0	0	0	0	2973	38	1647
ENSMUSG00000046168	Kcnrg	ENSMUST00000051184.10	8	0	0	0	2	2	943	31	792
ENSMUSG00000046169	Adamts6	ENSMUST00000224208.2	0	0	0	0	0	1	2891	238	3351
ENSMUSG00000046173	Pabpc6	ENSMUST00000057190.4	0	0	45	0	0	4	1197	97	1929
ENSMUSG00000046178	Nxph1	ENSMUST00000160300.2	0	0	0	0	0	0	1189	813	813
ENSMUSG00000046179	E2f8	ENSMUST00000058745.15	37	20	285	20	41	341	621	490	2580
ENSMUSG00000046180	Magea13	ENSMUST00000062542.5	0	0	0	0	0	0	462	150	960
ENSMUSG00000046182	Gsg1l	ENSMUST00000073935.7	0	0	0	0	1	0	2724	233	966
ENSMUSG00000046185	Zfp84	ENSMUST00000032802.5	90	4	169	28	14	43	2260	176	1677
ENSMUSG00000046186	Cd109	ENSMUST00000093812.5	15	4	100	3	1	25	1198	336	4326
ENSMUSG00000046191	Pcdhb20	ENSMUST00000052179.8	0	0	0	0	0	3	1003	159	2397
ENSMUSG00000046192	Iqub	ENSMUST00000052277.5	8	0	7	0	0	1	1195	92	2364
ENSMUSG00000046196	Ttc39d	ENSMUST00000134652.2	0	0	0	0	0	1	211	415	1812
ENSMUSG00000046201	Scaf8	ENSMUST00000076734.8	226	0	1280	51	30	473	652	410	3804
ENSMUSG00000046204	Pnma2	ENSMUST00000089236.11	57	21	91	46	40	54	3800	623	1095
ENSMUSG00000046207	Pik3r6	ENSMUST00000102613.8	0	0	0	0	0	5	657	312	2256
ENSMUSG00000046210	Olfr735	ENSMUST00000049729.4	0	0	0	0	0	0	3	0	1062
ENSMUSG00000046213	Cym	ENSMUST00000029504.9	0	0	0	0	0	1	73	26	1137
ENSMUSG00000046215	Rprml	ENSMUST00000057870.4	0	0	0	0	0	1	448	211	351
ENSMUSG00000046223	Plaur	ENSMUST00000002284.11	32	0	23	6	1	23	499	26	981
ENSMUSG00000046229	Scand1	ENSMUST00000079125.8	3	6	79	10	0	24	77	300	426
ENSMUSG00000046230	Vps13a	ENSMUST00000068156.8	131	15	2831	30	3	312	1182	158	9498
ENSMUSG00000046240	Hepacam	ENSMUST00000051839.9	0	0	0	5	0	0	1767	326	1254
ENSMUSG00000046242	Nme9	ENSMUST00000163199.5	0	0	0	0	0	0	202	7	987
ENSMUSG00000046245	Pilra	ENSMUST00000058897.11	0	0	0	3	0	0	1523	149	906
ENSMUSG00000046248	Krtap5-3	ENSMUST00000187512.2	0	0	0	0	0	0	520	64	1068
ENSMUSG00000046258	Adam29	ENSMUST00000053441.5	0	0	0	0	0	0	217	220	2289
ENSMUSG00000046259	Sprr2h	ENSMUST00000059845.2	0	0	0	0	0	0	369	59	324
ENSMUSG00000046262	Pramel29	ENSMUST00000105757.8	0	0	0	0	0	1	266	125	1494
ENSMUSG00000046269	Usp27x	ENSMUST00000191497.2	26	1	17	10	12	19	1994	965	1314
ENSMUSG00000046272	Olfr1444	ENSMUST00000213606.2	0	0	0	0	0	0	707	208	957
ENSMUSG00000046275	Trarg1	ENSMUST00000062024.3	0	0	0	1	0	0	2431	352	519
ENSMUSG00000046280	She	ENSMUST00000050401.6	28	0	21	8	0	8	4123	134	1476
ENSMUSG00000046282	Adam20	ENSMUST00000056331.8	0	0	0	0	0	0	169	140	2280
ENSMUSG00000046287	Pnma3	ENSMUST00000060418.8	0	0	0	36	0	0	1972	35	1398
ENSMUSG00000046295	Ankle1	ENSMUST00000119976.8	2	0	33	8	3	62	508	26	1602
ENSMUSG00000046300	Olfr1412	ENSMUST00000190505.3	0	0	0	0	0	0	2081	619	963
ENSMUSG00000046311	Zfp62	ENSMUST00000109197.8	333	18	823	21	5	94	1012	296	2721
ENSMUSG00000046312	Myorg	ENSMUST00000054920.5	72	0	16	12	5	27	1877	148	2148
ENSMUSG00000046314	Stxbp6	ENSMUST00000120531.8	20	0	0	1	0	1	3369	210	630
ENSMUSG00000046317	BC107364	ENSMUST00000093126.11	0	0	0	0	0	0	592	147	420
ENSMUSG00000046318	Ccbe1	ENSMUST00000130300.3	36	0	19	3	0	2	4435	913	1224
ENSMUSG00000046321	Hs3st2	ENSMUST00000084628.5	0	0	0	0	0	1	737	440	1101
ENSMUSG00000046323	Dppa3	ENSMUST00000049644.9	228	0	248	32	7	91	270	113	450
ENSMUSG00000046324	Ermp1	ENSMUST00000159692.8	1197	4	1250	165	10	328	4304	60	2694
ENSMUSG00000046329	Slc25a23	ENSMUST00000040280.14	36	0	46	75	5	111	1771	190	1401
ENSMUSG00000046330	Rpl37a	ENSMUST00000059980.11	305	22	763	1306	414	7583	251	31	276
ENSMUSG00000046337	Fam178b	ENSMUST00000114981.3	0	3	70	0	38	88	104	418	1137
ENSMUSG00000046338	Gpat2	ENSMUST00000062211.4	4	3	116	12	5	114	134	91	2403
ENSMUSG00000046345	Smco1	ENSMUST00000093183.5	1	0	0	16	0	0	627	141	642
ENSMUSG00000046351	Zfp322a	ENSMUST00000050101.9	260	41	94	76	18	32	3238	376	1230
ENSMUSG00000046352	Gjb2	ENSMUST00000055698.8	13	0	10	3	0	0	1472	256	678
ENSMUSG00000046354	Defb14	ENSMUST00000052601.4	0	0	0	0	0	0	3	0	201
ENSMUSG00000046364	Rpl27a	ENSMUST00000143107.2	410	33	30	255	265	4066	641	73	444
ENSMUSG00000046367	Mgat4e	ENSMUST00000172898.2	0	2	35	1	0	6	47	371	1317
ENSMUSG00000046378	Asphd1	ENSMUST00000106340.8	0	0	4	1	0	3	537	30	1080
ENSMUSG00000046380	Jrk	ENSMUST00000050234.4	33	19	42	14	12	43	3463	719	1671
ENSMUSG00000046387	Pcdhb17	ENSMUST00000053856.6	0	0	0	0	0	1	1899	364	2397
ENSMUSG00000046396	Olfr609	ENSMUST00000216075.2	0	0	0	0	0	0	1895	577	957
ENSMUSG00000046402	Rbp1	ENSMUST00000052068.11	9	0	154	7	1	18	229	2018	405
ENSMUSG00000046404	Yod1	ENSMUST00000049813.6	156	0	57	98	0	35	4942	157	1029
ENSMUSG00000046408	1700067K01Rik	ENSMUST00000060357.15	0	0	0	0	0	11	148	75	1068
ENSMUSG00000046410	Kcnk6	ENSMUST00000085818.6	152	0	1	50	1	1	3113	32	939
ENSMUSG00000046417	Lrrc75a	ENSMUST00000057194.9	9	0	5	8	0	14	834	133	1017
ENSMUSG00000046431	Olfr518	ENSMUST00000217803.2	0	0	0	3	0	0	418	1577	999
ENSMUSG00000046432	Bex3	ENSMUST00000053540.11	371	125	1627	310	256	427	316	242	372
ENSMUSG00000046434	Hnrnpa1	ENSMUST00000087351.9	1189	67	145	1879	586	6186	717	60	960
ENSMUSG00000046435	Pramel24	ENSMUST00000078695.5	0	0	0	0	0	0	603	81	1422
ENSMUSG00000046438	Scgb2b24	ENSMUST00000055444.6	0	0	0	0	0	0	160	27	336
ENSMUSG00000046441	Cmtr2	ENSMUST00000056972.6	22	0	53	17	4	27	1126	118	2301
ENSMUSG00000046442	Ppm1e	ENSMUST00000055438.5	32	0	11	3	1	7	3977	120	2247
ENSMUSG00000046447	Camk2n1	ENSMUST00000050918.4	45	0	18	41	23	22	3338	872	234
ENSMUSG00000046449	Nexmif	ENSMUST00000087879.11	89	1	113	21	6	49	5758	588	4545
ENSMUSG00000046450	Olfr71	ENSMUST00000217544.2	0	0	0	46	0	0	1069	702	936
ENSMUSG00000046456	Tmem150b	ENSMUST00000086363.5	0	0	0	0	0	0	520	107	714
ENSMUSG00000046460	Sh2d7	ENSMUST00000118413.3	0	0	0	0	0	0	1671	0	1374
ENSMUSG00000046470	Sox18	ENSMUST00000054491.6	0	0	0	0	0	3	370	119	1131
ENSMUSG00000046474	Krtap4-16	ENSMUST00000107437.2	0	0	0	0	0	0	312	36	606
ENSMUSG00000046480	Scn4b	ENSMUST00000060125.7	8	0	0	0	0	0	3651	647	684
ENSMUSG00000046486	Olfr231	ENSMUST00000214446.2	2	0	0	0	0	0	3883	400	921
ENSMUSG00000046490	Rnf222	ENSMUST00000065213.5	1	0	0	0	0	0	2536	294	633
ENSMUSG00000046491	C1qtnf2	ENSMUST00000057679.10	0	0	0	0	0	0	191	138	882
ENSMUSG00000046493	Olfr1352	ENSMUST00000058991.5	0	0	0	0	0	0	3185	244	927
ENSMUSG00000046500	Tafa4	ENSMUST00000089295.6	2	0	0	0	0	0	1361	424	405
ENSMUSG00000046516	Cox17	ENSMUST00000120495.2	536	47	995	99	79	173	3422	79	189
ENSMUSG00000046518	Ferd3l	ENSMUST00000061035.4	0	0	0	1	0	0	317	65	504
ENSMUSG00000046519	Golph3l	ENSMUST00000177390.8	67	0	121	79	0	153	1774	33	1029
ENSMUSG00000046523	Kctd4	ENSMUST00000050120.4	0	0	0	1	0	0	2839	382	777
ENSMUSG00000046532	Ar	ENSMUST00000052837.9	10	0	0	1	0	2	6338	1013	2697
ENSMUSG00000046541	Zfp526	ENSMUST00000055604.6	24	1	25	41	5	38	1165	190	2025
ENSMUSG00000046546	Fam43a	ENSMUST00000059078.4	17	17	17	5	9	37	926	877	1272
ENSMUSG00000046550	Spin2c	ENSMUST00000049999.9	3	0	2	1	3	14	280	258	771
ENSMUSG00000046556	Zfp319	ENSMUST00000057717.8	34	0	0	14	2	6	4820	669	1743
ENSMUSG00000046561	Arsj	ENSMUST00000093976.4	0	0	2	0	0	0	975	1090	1794
ENSMUSG00000046562	Unc119b	ENSMUST00000060798.6	330	0	118	436	11	181	2841	65	753
ENSMUSG00000046567	4930430F08Rik	ENSMUST00000054471.10	76	3	67	21	3	53	1304	279	981
ENSMUSG00000046572	Zfp518b	ENSMUST00000179555.8	629	26	400	219	48	329	2931	639	3246
ENSMUSG00000046573	Lyrm4	ENSMUST00000053265.8	74	28	20	31	14	13	1447	366	273
ENSMUSG00000046574	Prr12	ENSMUST00000057293.8	37	0	1052	41	0	776	918	0	6105
ENSMUSG00000046585	Cfap58	ENSMUST00000066308.9	0	0	0	0	0	0	618	116	2619
ENSMUSG00000046589	Lrrc8e	ENSMUST00000053035.7	6	0	2	24	0	8	1309	184	2385
ENSMUSG00000046591	Ticrr	ENSMUST00000035977.9	172	6	843	100	4	742	1388	144	5667
ENSMUSG00000046593	Tmem215	ENSMUST00000049655.3	6	0	0	0	0	0	2539	1489	705
ENSMUSG00000046598	Bdh1	ENSMUST00000115227.10	34	0	76	32	24	117	1810	283	1029
ENSMUSG00000046603	Tcaim	ENSMUST00000052740.14	36	0	9	10	3	24	1361	161	1527
ENSMUSG00000046605	B3gntl1	ENSMUST00000067399.14	79	0	41	77	2	60	1672	121	1071
ENSMUSG00000046607	Hrk	ENSMUST00000054836.7	64	0	0	12	0	0	5071	35	276
ENSMUSG00000046610	Oacyl	ENSMUST00000115097.8	9	0	0	0	0	0	1350	26	2055
ENSMUSG00000046613	Vwa5b2	ENSMUST00000100074.10	0	0	0	0	50	53	107	599	1806
ENSMUSG00000046615	Actrt1	ENSMUST00000059466.3	0	0	4	0	0	0	108	103	1128
ENSMUSG00000046618	Olfml2a	ENSMUST00000057279.6	0	0	0	0	0	2	3437	99	2043
ENSMUSG00000046623	Gjb4	ENSMUST00000060419.2	7	0	32	17	10	17	263	384	798
ENSMUSG00000046634	Pkd1l1	ENSMUST00000154153.8	0	0	13	0	0	5	70	0	7561
ENSMUSG00000046637	Ttc34	ENSMUST00000050220.4	0	0	3	1	0	0	1347	191	1662
ENSMUSG00000046643	Olfr218	ENSMUST00000216603.2	0	0	0	0	0	0	2040	644	939
ENSMUSG00000046650	Olfr1440	ENSMUST00000213657.2	12	0	0	4	0	0	6375	268	945
ENSMUSG00000046652	Tas2r143	ENSMUST00000057398.4	0	0	0	0	0	0	3	0	879
ENSMUSG00000046658	Zfp316	ENSMUST00000161448.8	28	0	8	39	2	12	3515	325	3051
ENSMUSG00000046667	Rbm12b1	ENSMUST00000069128.8	15	0	43	0	13	73	194	367	2508
ENSMUSG00000046668	Cxxc5	ENSMUST00000060722.8	173	8	36	66	35	99	997	354	951
ENSMUSG00000046671	Mtfr1l	ENSMUST00000102550.10	398	9	109	88	43	223	860	298	867
ENSMUSG00000046675	Tmem251	ENSMUST00000057416.8	64	7	81	6	5	34	2553	325	489
ENSMUSG00000046676	Lce1l	ENSMUST00000054426.5	0	0	0	0	0	0	196	69	405
ENSMUSG00000046678	Olfr981	ENSMUST00000215956.3	48	0	0	4	0	0	7053	214	930
ENSMUSG00000046679	C87436	ENSMUST00000050497.14	0	7	17	3	6	45	437	375	1722
ENSMUSG00000046688	Tifa	ENSMUST00000171621.3	0	0	0	0	0	0	1256	739	552
ENSMUSG00000046691	Chtf8	ENSMUST00000177068.8	217	22	68	598	34	150	2442	126	363
ENSMUSG00000046694	Tent5b	ENSMUST00000051676.7	19	0	9	8	4	21	838	168	1281
ENSMUSG00000046697	Enpp7	ENSMUST00000092373.13	0	0	0	0	0	0	3	29	1338
ENSMUSG00000046699	Slitrk4	ENSMUST00000069926.14	11	5	26	8	0	0	5664	319	2511
ENSMUSG00000046707	Csnk2a2	ENSMUST00000212214.2	431	0	1846	347	15	404	5396	333	1050
ENSMUSG00000046709	Mapk10	ENSMUST00000170792.9	0	0	0	0	0	2	5240	566	1392
ENSMUSG00000046711	Hmga1	ENSMUST00000118570.2	82	20	20	2564	413	951	1175	435	288
ENSMUSG00000046714	Foxc2	ENSMUST00000054691.8	0	0	0	2	0	0	799	444	1482
ENSMUSG00000046716	Vmn1r67	ENSMUST00000055964.8	3	0	0	0	0	0	1477	22	915
ENSMUSG00000046717	Igbp1b	ENSMUST00000054786.6	0	0	0	0	0	0	327	100	1029
ENSMUSG00000046718	Bst2	ENSMUST00000051672.9	75	0	301	56	1	156	247	29	516
ENSMUSG00000046719	Nxph3	ENSMUST00000058866.8	154	6	15	11	8	13	986	357	756
ENSMUSG00000046722	Cdc42se1	ENSMUST00000053872.12	200	15	55	389	69	113	2177	388	240
ENSMUSG00000046723	Adam24	ENSMUST00000051614.5	0	0	0	0	0	0	422	182	2283
ENSMUSG00000046727	Cystm1	ENSMUST00000050584.10	17	0	2	40	7	65	380	139	312
ENSMUSG00000046731	Kctd11	ENSMUST00000238978.2	7	0	0	0	2	0	1250	775	696
ENSMUSG00000046733	Gprc5a	ENSMUST00000050104.8	29	0	50	12	2	11	879	136	1068
ENSMUSG00000046743	Fat4	ENSMUST00000061260.8	0	0	4	0	0	0	1146	20	14943
ENSMUSG00000046748	Tmem45a2	ENSMUST00000067173.8	9	0	0	0	0	0	2033	173	867
ENSMUSG00000046750	Selenov	ENSMUST00000056589.15	0	0	0	0	0	0	174	109	984
