gene_id	gene_id_base	gene_name	transcript_id	chrom	strand	transcript_length	cds_length	utr_length	selection_score
ENSMUSG00000024747.4	ENSMUSG00000024747	Aldh1a7	ENSMUST00000025656.4	chr19	-	2066	1503	563	1|1|1|1|1503|2066
ENSMUSG00000024749.10	ENSMUSG00000024749	Tmc1	ENSMUST00000039500.4	chr19	-	4073	2271	1802	1|1|1|1|2271|4073
ENSMUSG00000024750.12	ENSMUSG00000024750	Zfand5	ENSMUST00000025659.12	chr19	+	2467	639	1828	1|1|1|1|639|2467
ENSMUSG00000024754.14	ENSMUSG00000024754	Cemip2	ENSMUST00000025663.8	chr19	+	6602	4149	2453	1|1|1|1|4149|6602
ENSMUSG00000024757.8	ENSMUSG00000024757	Slc22a19	ENSMUST00000025666.8	chr19	-	1998	1653	345	1|1|1|1|1653|1998
ENSMUSG00000024758.16	ENSMUSG00000024758	Rtn3	ENSMUST00000065304.13	chr19	-	5013	2892	2121	1|0|1|1|2892|5013
ENSMUSG00000024759.15	ENSMUSG00000024759	Atl3	ENSMUST00000025668.9	chr19	+	4368	1623	2745	1|1|1|1|1623|4368
ENSMUSG00000024764.11	ENSMUSG00000024764	Naa40	ENSMUST00000025675.11	chr19	-	3231	711	2520	1|1|1|1|711|3231
ENSMUSG00000024766.16	ENSMUSG00000024766	Lipo3	ENSMUST00000112508.9	chr19	-	2839	1197	1642	1|1|1|1|1197|2839
ENSMUSG00000024767.12	ENSMUSG00000024767	Otub1	ENSMUST00000025679.11	chr19	-	1713	813	900	1|1|1|1|813|1713
ENSMUSG00000024768.6	ENSMUSG00000024768	Lipf	ENSMUST00000025680.5	chr19	+	1411	1185	226	1|1|1|1|1185|1411
ENSMUSG00000024769.8	ENSMUSG00000024769	Cdc42bpg	ENSMUST00000025681.8	chr19	+	5995	4653	1342	0|1|1|1|4653|5995
ENSMUSG00000024770.15	ENSMUSG00000024770	Lipn	ENSMUST00000025682.12	chr19	+	1502	1200	302	1|1|1|1|1200|1502
ENSMUSG00000024771.8	ENSMUSG00000024771	Lipk	ENSMUST00000054260.8	chr19	+	2125	1209	916	1|1|1|1|1209|2125
ENSMUSG00000024772.10	ENSMUSG00000024772	Ehd1	ENSMUST00000025684.4	chr19	+	3353	1602	1751	1|1|1|1|1602|3353
ENSMUSG00000024773.16	ENSMUSG00000024773	Atg2a	ENSMUST00000045351.13	chr19	+	6371	5742	629	1|1|1|1|5742|6371
ENSMUSG00000024774.17	ENSMUSG00000024774	Ankrd22	ENSMUST00000025686.9	chr19	-	2846	573	2273	1|1|1|1|573|2846
ENSMUSG00000024776.19	ENSMUSG00000024776	Stambpl1	ENSMUST00000054956.15	chr19	+	2024	1308	716	1|1|1|1|1308|2024
ENSMUSG00000024777.11	ENSMUSG00000024777	Ppp2r5b	ENSMUST00000025695.10	chr19	-	2742	1491	1251	1|1|1|1|1491|2742
ENSMUSG00000024778.14	ENSMUSG00000024778	Fas	ENSMUST00000025691.13	chr19	+	1481	981	500	1|1|1|1|981|1481
ENSMUSG00000024780.8	ENSMUSG00000024780	Cdc37l1	ENSMUST00000050148.5	chr19	+	5179	1005	4174	1|1|1|1|1005|5179
ENSMUSG00000024781.17	ENSMUSG00000024781	Lipa	ENSMUST00000049572.15	chr19	-	2969	1191	1778	1|1|1|1|1191|2969
ENSMUSG00000024782.8	ENSMUSG00000024782	Ak3	ENSMUST00000025696.5	chr19	-	2809	681	2128	1|1|1|1|681|2809
ENSMUSG00000024784.14	ENSMUSG00000024784	Gpha2	ENSMUST00000025698.14	chr19	+	609	384	225	1|1|1|1|384|609
ENSMUSG00000024785.8	ENSMUSG00000024785	Rcl1	ENSMUST00000064393.6	chr19	+	1803	1119	684	1|1|1|1|1119|1803
ENSMUSG00000024786.10	ENSMUSG00000024786	Majin	ENSMUST00000113528.2	chr19	+	1562	768	794	1|1|1|1|768|1562
ENSMUSG00000024787.15	ENSMUSG00000024787	Snx15	ENSMUST00000025702.14	chr19	-	1635	1011	624	1|1|1|1|1011|1635
ENSMUSG00000024789.14	ENSMUSG00000024789	Jak2	ENSMUST00000065796.10	chr19	+	5030	3396	1634	0|1|1|1|3396|5030
ENSMUSG00000024790.9	ENSMUSG00000024790	Sac3d1	ENSMUST00000113533.3	chr19	-	1442	1281	161	1|1|1|1|1281|1442
ENSMUSG00000024791.11	ENSMUSG00000024791	Cdca5	ENSMUST00000025704.3	chr19	+	2024	792	1232	1|1|1|1|792|2024
ENSMUSG00000024792.10	ENSMUSG00000024792	Zfpl1	ENSMUST00000025707.9	chr19	-	1287	930	357	1|1|1|1|930|1287
ENSMUSG00000024795.12	ENSMUSG00000024795	Kif20b	ENSMUST00000087341.7	chr19	+	5564	5322	242	0|1|1|1|5322|5564
ENSMUSG00000024797.15	ENSMUSG00000024797	Vps51	ENSMUST00000025711.13	chr19	-	2675	2346	329	1|1|1|1|2346|2675
ENSMUSG00000024798.16	ENSMUSG00000024798	Htr7	ENSMUST00000164639.8	chr19	-	3057	1344	1713	1|1|1|1|1344|3057
ENSMUSG00000024799.17	ENSMUSG00000024799	Tm7sf2	ENSMUST00000025713.12	chr19	-	1471	1254	217	1|1|1|1|1254|1471
ENSMUSG00000024800.9	ENSMUSG00000024800	Rpp30	ENSMUST00000025714.9	chr19	+	1145	804	341	1|1|1|1|804|1145
ENSMUSG00000024803.10	ENSMUSG00000024803	Ankrd1	ENSMUST00000025718.10	chr19	-	1818	945	873	1|0|0|1|945|1818
ENSMUSG00000024805.17	ENSMUSG00000024805	Pcgf5	ENSMUST00000071267.14	chr19	+	1508	708	800	1|1|1|1|708|1508
ENSMUSG00000024806.5	ENSMUSG00000024806	Mlana	ENSMUST00000025719.5	chr19	+	906	339	567	1|1|1|1|339|906
ENSMUSG00000024807.19	ENSMUSG00000024807	Syvn1	ENSMUST00000138532.8	chr19	+	3464	1836	1628	1|1|1|1|1836|3464
ENSMUSG00000024810.17	ENSMUSG00000024810	Il33	ENSMUST00000025724.9	chr19	+	2544	798	1746	1|1|1|1|798|2544
ENSMUSG00000024811.12	ENSMUSG00000024811	Tnks2	ENSMUST00000025729.12	chr19	+	6481	3498	2983	0|1|1|1|3498|6481
ENSMUSG00000024812.12	ENSMUSG00000024812	Tjp2	ENSMUST00000099558.5	chr19	-	4591	3501	1090	1|1|1|1|3501|4591
ENSMUSG00000024815.6	ENSMUSG00000024815	Trpd52l3	ENSMUST00000025727.6	chr19	+	2229	693	1536	0|1|1|1|693|2229
ENSMUSG00000024816.13	ENSMUSG00000024816	Frmd8	ENSMUST00000025728.13	chr19	-	4504	1398	3106	1|1|1|1|1398|4504
ENSMUSG00000024817.14	ENSMUSG00000024817	Uhrf2	ENSMUST00000025739.14	chr19	+	3536	2409	1127	1|1|1|1|2409|3536
ENSMUSG00000024818.16	ENSMUSG00000024818	Slc25a45	ENSMUST00000025732.14	chr19	+	2480	864	1616	1|1|1|1|864|2480
ENSMUSG00000024824.8	ENSMUSG00000024824	Rad9a	ENSMUST00000025740.8	chr19	-	2081	1167	914	1|1|1|1|1167|2081
ENSMUSG00000024826.16	ENSMUSG00000024826	Dpf2	ENSMUST00000136983.8	chr19	-	3314	1173	2141	1|1|1|1|1173|3314
ENSMUSG00000024827.11	ENSMUSG00000024827	Gldc	ENSMUST00000025778.9	chr19	-	3767	3075	692	1|1|1|1|3075|3767
ENSMUSG00000024829.13	ENSMUSG00000024829	Mrpl21	ENSMUST00000025743.7	chr19	+	802	627	175	1|1|1|1|627|802
ENSMUSG00000024830.18	ENSMUSG00000024830	Rps6kb2	ENSMUST00000025749.15	chr19	-	4586	1455	3131	1|1|1|1|1455|4586
ENSMUSG00000024831.15	ENSMUSG00000024831	Ighmbp2	ENSMUST00000025751.11	chr19	-	5569	2979	2590	1|1|1|1|2979|5569
ENSMUSG00000024833.16	ENSMUSG00000024833	Pola2	ENSMUST00000025752.15	chr19	-	2421	1800	621	1|1|1|1|1800|2421
ENSMUSG00000024835.16	ENSMUSG00000024835	Coro1b	ENSMUST00000008893.9	chr19	+	1888	1452	436	1|1|1|1|1452|1888
ENSMUSG00000024837.16	ENSMUSG00000024837	Dmrt1	ENSMUST00000025755.11	chr19	+	2340	1122	1218	1|1|1|1|1122|2340
ENSMUSG00000024841.9	ENSMUSG00000024841	Eif1ad	ENSMUST00000025759.9	chr19	+	2556	510	2046	1|1|1|1|510|2556
ENSMUSG00000024842.9	ENSMUSG00000024842	Cabp4	ENSMUST00000025761.8	chr19	-	1433	813	620	1|1|1|1|813|1433
ENSMUSG00000024843.16	ENSMUSG00000024843	Chka	ENSMUST00000072055.13	chr19	+	2549	1305	1244	1|1|1|1|1305|2549
ENSMUSG00000024844.16	ENSMUSG00000024844	Banf1	ENSMUST00000025762.16	chr19	-	1261	267	994	1|1|1|1|267|1261
ENSMUSG00000024845.20	ENSMUSG00000024845	Tmem134	ENSMUST00000140267.10	chr19	+	938	585	353	1|1|0|1|585|938
ENSMUSG00000024846.7	ENSMUSG00000024846	Cst6	ENSMUST00000025764.6	chr19	-	3951	447	3504	1|1|1|1|447|3951
ENSMUSG00000024847.16	ENSMUSG00000024847	Aip	ENSMUST00000117831.8	chr19	-	1378	990	388	1|1|1|1|990|1378
ENSMUSG00000024851.15	ENSMUSG00000024851	Pitpnm1	ENSMUST00000100022.4	chr19	+	4512	3729	783	1|1|1|1|3729|4512
ENSMUSG00000024853.11	ENSMUSG00000024853	Sf3b2	ENSMUST00000025774.11	chr19	-	3222	2634	588	1|1|1|1|2634|3222
ENSMUSG00000024854.5	ENSMUSG00000024854	Pold4	ENSMUST00000025773.5	chr19	+	913	321	592	1|1|1|1|321|913
ENSMUSG00000024855.11	ENSMUSG00000024855	Pacs1	ENSMUST00000025786.9	chr19	-	4869	2883	1986	1|1|1|1|2883|4869
ENSMUSG00000024856.11	ENSMUSG00000024856	Cdk2ap2	ENSMUST00000025779.11	chr19	+	1080	381	699	1|1|1|1|381|1080
ENSMUSG00000024857.17	ENSMUSG00000024857	Cabp2	ENSMUST00000162908.2	chr19	+	911	663	248	1|1|1|1|663|911
ENSMUSG00000024858.15	ENSMUSG00000024858	Grk2	ENSMUST00000088737.11	chr19	-	3376	2067	1309	1|1|1|1|2067|3376
ENSMUSG00000024862.17	ENSMUSG00000024862	Klc2	ENSMUST00000116563.8	chr19	-	3169	1857	1312	1|1|1|1|1857|3169
ENSMUSG00000024863.7	ENSMUSG00000024863	Mbl2	ENSMUST00000025797.7	chr19	+	1089	732	357	1|1|1|1|732|1089
ENSMUSG00000024866.11	ENSMUSG00000024866	Acy3	ENSMUST00000054030.8	chr19	+	1505	954	551	1|1|1|1|954|1505
ENSMUSG00000024867.15	ENSMUSG00000024867	Pip5k1b	ENSMUST00000025800.15	chr19	-	2573	1617	956	1|1|1|1|1617|2573
ENSMUSG00000024868.9	ENSMUSG00000024868	Dkk1	ENSMUST00000025803.9	chr19	-	2427	816	1611	1|1|1|1|816|2427
ENSMUSG00000024870.7	ENSMUSG00000024870	Rab1b	ENSMUST00000025804.7	chr19	-	1913	603	1310	1|1|1|1|603|1913
ENSMUSG00000024871.12	ENSMUSG00000024871	Doc2g	ENSMUST00000025806.5	chr19	+	1469	1161	308	1|1|1|1|1161|1469
ENSMUSG00000024873.8	ENSMUSG00000024873	Cnih2	ENSMUST00000025805.8	chr19	-	1343	480	863	1|1|1|1|480|1343
ENSMUSG00000024875.6	ENSMUSG00000024875	Yif1a	ENSMUST00000025811.6	chr19	+	1488	879	609	1|1|1|1|879|1488
ENSMUSG00000024878.10	ENSMUSG00000024878	Cbwd1	ENSMUST00000025815.10	chr19	-	1929	1179	750	1|1|1|1|1179|1929
ENSMUSG00000024883.9	ENSMUSG00000024883	Rin1	ENSMUST00000025818.8	chr19	+	4184	2322	1862	1|0|0|1|2322|4184
ENSMUSG00000024885.10	ENSMUSG00000024885	Aldh3b1	ENSMUST00000051803.8	chr19	-	1924	1404	520	1|1|1|1|1404|1924
ENSMUSG00000024887.11	ENSMUSG00000024887	Asah2	ENSMUST00000237104.2	chr19	-	7049	2268	4781	0|1|1|1|2268|7049
ENSMUSG00000024889.6	ENSMUSG00000024889	Rce1	ENSMUST00000025823.6	chr19	-	1425	987	438	1|1|1|1|987|1425
ENSMUSG00000024891.7	ENSMUSG00000024891	Slc29a2	ENSMUST00000025826.7	chr19	+	2401	1281	1120	1|0|0|1|1281|2401
ENSMUSG00000024892.18	ENSMUSG00000024892	Pcx	ENSMUST00000113825.4	chr19	+	4044	3534	510	1|1|1|1|3534|4044
ENSMUSG00000024896.10	ENSMUSG00000024896	Minpp1	ENSMUST00000025827.10	chr19	+	2613	1443	1170	1|1|1|1|1443|2613
ENSMUSG00000024897.10	ENSMUSG00000024897	Apba1	ENSMUST00000025830.9	chr19	+	6620	2526	4094	1|1|1|1|2526|6620
ENSMUSG00000024899.8	ENSMUSG00000024899	Papss2	ENSMUST00000025833.7	chr19	+	3635	1863	1772	1|0|1|1|1863|3635
ENSMUSG00000024900.6	ENSMUSG00000024900	Cpt1a	ENSMUST00000025835.6	chr19	+	4317	2319	1998	1|1|1|1|2319|4317
ENSMUSG00000024901.16	ENSMUSG00000024901	Peli3	ENSMUST00000025834.15	chr19	-	4110	1335	2775	1|1|1|1|1335|4110
ENSMUSG00000024902.6	ENSMUSG00000024902	Mrpl11	ENSMUST00000025836.6	chr19	+	3045	576	2469	1|1|1|1|576|3045
ENSMUSG00000024905.16	ENSMUSG00000024905	Tesmin	ENSMUST00000025840.16	chr19	+	2234	1425	809	1|1|1|1|1425|2234
ENSMUSG00000024906.11	ENSMUSG00000024906	Mus81	ENSMUST00000124334.8	chr19	-	2067	1653	414	1|1|1|1|1653|2067
ENSMUSG00000024907.8	ENSMUSG00000024907	Gal	ENSMUST00000025842.8	chr19	-	672	423	249	1|0|0|1|423|672
ENSMUSG00000024908.16	ENSMUSG00000024908	Ppp6r3	ENSMUST00000025846.16	chr19	-	4841	2532	2309	1|1|1|1|2532|4841
ENSMUSG00000024909.16	ENSMUSG00000024909	Efemp2	ENSMUST00000165485.8	chr19	+	1557	1329	228	1|1|1|1|1329|1557
ENSMUSG00000024910.6	ENSMUSG00000024910	Ctsw	ENSMUST00000025844.6	chr19	-	1241	1113	128	1|1|1|1|1113|1241
ENSMUSG00000024911.8	ENSMUSG00000024911	Fibp	ENSMUST00000025847.7	chr19	+	1215	1092	123	1|0|1|1|1092|1215
ENSMUSG00000024912.7	ENSMUSG00000024912	Fosl1	ENSMUST00000025850.7	chr19	+	1864	819	1045	1|1|1|1|819|1864
ENSMUSG00000024913.17	ENSMUSG00000024913	Lrp5	ENSMUST00000025856.17	chr19	-	5161	4842	319	1|1|1|1|4842|5161
ENSMUSG00000024914.17	ENSMUSG00000024914	Drap1	ENSMUST00000025853.16	chr19	-	992	615	377	1|1|1|1|615|992
ENSMUSG00000024921.18	ENSMUSG00000024921	Smarca2	ENSMUST00000112637.10	chr19	+	1962	708	1254	1|0|1|1|708|1962
ENSMUSG00000024922.3	ENSMUSG00000024922	Ovol1	ENSMUST00000025861.3	chr19	-	2972	801	2171	1|1|1|1|801|2972
ENSMUSG00000024924.15	ENSMUSG00000024924	Vldlr	ENSMUST00000167487.8	chr19	+	7971	2619	5352	1|1|1|1|2619|7971
ENSMUSG00000024925.12	ENSMUSG00000024925	Rnaseh2c	ENSMUST00000025864.11	chr19	+	1126	498	628	1|1|1|1|498|1126
ENSMUSG00000024926.11	ENSMUSG00000024926	Kat5	ENSMUST00000113641.4	chr19	-	2154	1539	615	1|1|1|1|1539|2154
ENSMUSG00000024927.9	ENSMUSG00000024927	Rela	ENSMUST00000025867.6	chr19	+	2716	1647	1069	1|1|1|1|1647|2716
ENSMUSG00000024935.12	ENSMUSG00000024935	Slc1a1	ENSMUST00000025875.5	chr19	+	3800	1569	2231	1|1|1|1|1569|3800
ENSMUSG00000024936.9	ENSMUSG00000024936	Kcnk7	ENSMUST00000052448.4	chr19	+	1226	1029	197	1|1|1|1|1029|1226
ENSMUSG00000024937.16	ENSMUSG00000024937	Ehbp1l1	ENSMUST00000049295.15	chr19	-	6404	5154	1250	1|1|1|1|5154|6404
ENSMUSG00000024939.7	ENSMUSG00000024939	Fam89b	ENSMUST00000099955.4	chr19	-	1197	567	630	1|1|1|1|567|1197
ENSMUSG00000024940.12	ENSMUSG00000024940	Ltbp3	ENSMUST00000081496.6	chr19	+	5190	3759	1431	0|1|1|1|3759|5190
ENSMUSG00000024941.10	ENSMUSG00000024941	Scyl1	ENSMUST00000025890.10	chr19	-	2586	2367	219	1|0|0|1|2367|2586
ENSMUSG00000024942.20	ENSMUSG00000024942	Capn1	ENSMUST00000025891.11	chr19	-	3062	2139	923	1|1|1|1|2139|3062
ENSMUSG00000024943.10	ENSMUSG00000024943	Smc5	ENSMUST00000087556.7	chr19	-	5683	3303	2380	1|0|0|1|3303|5683
ENSMUSG00000024944.7	ENSMUSG00000024944	Arl2	ENSMUST00000025893.7	chr19	-	1286	552	734	1|1|1|1|552|1286
ENSMUSG00000024947.18	ENSMUSG00000024947	Men1	ENSMUST00000056391.15	chr19	+	2975	1833	1142	1|1|1|1|1833|2975
ENSMUSG00000024948.16	ENSMUSG00000024948	Map4k2	ENSMUST00000025897.13	chr19	+	4644	2463	2181	1|1|1|1|2463|4644
ENSMUSG00000024949.18	ENSMUSG00000024949	Sf1	ENSMUST00000131252.8	chr19	+	4353	1917	2436	1|1|1|1|1917|4353
ENSMUSG00000024953.18	ENSMUSG00000024953	Prdx5	ENSMUST00000025904.12	chr19	-	1262	630	632	1|1|1|1|630|1262
ENSMUSG00000024955.16	ENSMUSG00000024955	Esrra	ENSMUST00000025906.12	chr19	-	2241	1266	975	1|1|1|1|1266|2241
ENSMUSG00000024957.10	ENSMUSG00000024957	Kcnk4	ENSMUST00000025908.8	chr19	-	1763	1194	569	1|1|1|1|1194|1763
ENSMUSG00000024958.14	ENSMUSG00000024958	Gpr137	ENSMUST00000166115.9	chr19	-	1858	1188	670	1|1|1|1|1188|1858
ENSMUSG00000024959.15	ENSMUSG00000024959	Bad	ENSMUST00000025910.13	chr19	+	1452	612	840	1|1|1|1|612|1452
ENSMUSG00000024960.10	ENSMUSG00000024960	Plcb3	ENSMUST00000025912.10	chr19	-	4257	3702	555	1|1|1|1|3702|4257
ENSMUSG00000024962.14	ENSMUSG00000024962	Vegfb	ENSMUST00000130048.8	chr19	-	1158	564	594	1|1|1|1|564|1158
ENSMUSG00000024963.13	ENSMUSG00000024963	Dnajc4	ENSMUST00000179118.2	chr19	-	840	732	108	1|1|1|1|732|840
ENSMUSG00000024965.10	ENSMUSG00000024965	Fermt3	ENSMUST00000040772.9	chr19	-	2587	1995	592	1|1|1|1|1995|2587
ENSMUSG00000024966.10	ENSMUSG00000024966	Stip1	ENSMUST00000025918.9	chr19	-	2108	1629	479	1|1|1|1|1629|2108
ENSMUSG00000024968.15	ENSMUSG00000024968	Rcor2	ENSMUST00000066646.12	chr19	+	2823	1569	1254	1|1|1|1|1569|2823
ENSMUSG00000024969.16	ENSMUSG00000024969	Mark2	ENSMUST00000165965.8	chr19	-	2874	2328	546	1|1|1|1|2328|2874
ENSMUSG00000024970.6	ENSMUSG00000024970	Spindoc	ENSMUST00000025924.4	chr19	-	3152	1143	2009	1|1|1|1|1143|3152
ENSMUSG00000024972.17	ENSMUSG00000024972	Lgals12	ENSMUST00000099729.10	chr19	-	2757	942	1815	1|1|1|1|942|2757
ENSMUSG00000024973.18	ENSMUSG00000024973	Plaat5	ENSMUST00000025929.12	chr19	+	1063	810	253	1|0|0|1|810|1063
ENSMUSG00000024974.11	ENSMUSG00000024974	Smc3	ENSMUST00000025930.10	chr19	+	4851	3651	1200	1|1|1|1|3651|4851
ENSMUSG00000024975.14	ENSMUSG00000024975	Pdcd4	ENSMUST00000074371.13	chr19	+	2408	1407	1001	1|1|1|1|1407|2408
ENSMUSG00000024976.15	ENSMUSG00000024976	Shoc2	ENSMUST00000025932.9	chr19	+	3965	1746	2219	1|1|1|1|1746|3965
ENSMUSG00000024978.12	ENSMUSG00000024978	Gpam	ENSMUST00000061856.6	chr19	-	3832	2481	1351	1|1|1|1|2481|3832
ENSMUSG00000024979.14	ENSMUSG00000024979	Tectb	ENSMUST00000025936.12	chr19	+	2725	987	1738	1|1|1|1|987|2725
ENSMUSG00000024981.7	ENSMUSG00000024981	Acsl5	ENSMUST00000043150.6	chr19	+	4243	2049	2194	1|1|1|1|2049|4243
ENSMUSG00000024982.11	ENSMUSG00000024982	Zdhhc6	ENSMUST00000076891.7	chr19	-	2263	1239	1024	1|1|1|1|1239|2263
ENSMUSG00000024983.11	ENSMUSG00000024983	Vti1a	ENSMUST00000095950.3	chr19	+	3405	651	2754	1|1|1|1|651|3405
ENSMUSG00000024985.21	ENSMUSG00000024985	Tcf7l2	ENSMUST00000111656.8	chr19	+	3629	1377	2252	1|0|1|1|1377|3629
ENSMUSG00000024986.13	ENSMUSG00000024986	Hhex	ENSMUST00000025944.9	chr19	+	1802	813	989	1|1|1|1|813|1802
ENSMUSG00000024987.7	ENSMUSG00000024987	Cyp26a1	ENSMUST00000025946.7	chr19	+	1791	1491	300	1|1|1|1|1491|1791
ENSMUSG00000024989.16	ENSMUSG00000024989	Cep55	ENSMUST00000169673.3	chr19	+	2757	1386	1371	1|0|1|1|1386|2757
ENSMUSG00000024990.14	ENSMUSG00000024990	Rbp4	ENSMUST00000112335.4	chr19	-	937	603	334	1|1|1|1|603|937
ENSMUSG00000024991.9	ENSMUSG00000024991	Eif3a	ENSMUST00000025955.8	chr19	-	5125	4032	1093	1|1|1|1|4032|5125
ENSMUSG00000024992.14	ENSMUSG00000024992	Pde6c	ENSMUST00000025956.13	chr19	+	2586	2583	3	1|1|1|1|2583|2586
ENSMUSG00000024993.16	ENSMUSG00000024993	Dennd10	ENSMUST00000025957.9	chr19	+	2307	1071	1236	1|1|1|1|1071|2307
ENSMUSG00000024997.8	ENSMUSG00000024997	Prdx3	ENSMUST00000025961.7	chr19	-	1478	771	707	1|1|1|1|771|1478
ENSMUSG00000024998.18	ENSMUSG00000024998	Plce1	ENSMUST00000169713.9	chr19	+	9439	6846	2593	1|1|1|1|6846|9439
ENSMUSG00000024999.8	ENSMUSG00000024999	Noc3l	ENSMUST00000025963.8	chr19	-	3977	2421	1556	1|1|1|1|2421|3977
ENSMUSG00000025001.12	ENSMUSG00000025001	Hells	ENSMUST00000025965.12	chr19	+	5868	2463	3405	1|1|1|1|2463|5868
ENSMUSG00000025002.6	ENSMUSG00000025002	Cyp2c55	ENSMUST00000025966.5	chr19	+	1995	1470	525	1|1|1|1|1470|1995
ENSMUSG00000025003.7	ENSMUSG00000025003	Cyp2c39	ENSMUST00000025968.5	chr19	+	1817	1470	347	1|1|1|1|1470|1817
ENSMUSG00000025004.17	ENSMUSG00000025004	Cyp2c40	ENSMUST00000160476.9	chr19	-	1803	1473	330	1|0|0|1|1473|1803
ENSMUSG00000025006.19	ENSMUSG00000025006	Sorbs1	ENSMUST00000099466.10	chr19	-	2223	2220	3	0|1|1|1|2220|2223
ENSMUSG00000025007.14	ENSMUSG00000025007	Aldh18a1	ENSMUST00000025979.13	chr19	-	3527	2385	1142	1|1|1|1|2385|3527
ENSMUSG00000025008.16	ENSMUSG00000025008	Tctn3	ENSMUST00000025981.15	chr19	-	2743	1785	958	1|1|1|1|1785|2743
ENSMUSG00000025010.15	ENSMUSG00000025010	Ccnj	ENSMUST00000025983.13	chr19	+	3819	1137	2682	1|1|1|1|1137|3819
ENSMUSG00000025013.16	ENSMUSG00000025013	Tll2	ENSMUST00000025986.15	chr19	-	4658	3036	1622	1|1|1|1|3036|4658
ENSMUSG00000025014.14	ENSMUSG00000025014	Dntt	ENSMUST00000112200.3	chr19	+	1948	1530	418	1|1|1|1|1530|1948
ENSMUSG00000025016.12	ENSMUSG00000025016	Tm9sf3	ENSMUST00000025989.10	chr19	-	8096	1752	6344	1|0|0|1|1752|8096
ENSMUSG00000025017.11	ENSMUSG00000025017	Pik3ap1	ENSMUST00000059672.9	chr19	-	4482	2433	2049	1|1|1|1|2433|4482
ENSMUSG00000025019.18	ENSMUSG00000025019	Lcor	ENSMUST00000067795.13	chr19	+	4833	1299	3534	1|1|1|1|1299|4833
ENSMUSG00000025020.12	ENSMUSG00000025020	Slit1	ENSMUST00000025993.10	chr19	-	5045	4593	452	1|1|1|1|4593|5045
ENSMUSG00000025024.8	ENSMUSG00000025024	Smndc1	ENSMUST00000025997.7	chr19	-	1948	714	1234	1|1|1|1|714|1948
ENSMUSG00000025025.15	ENSMUSG00000025025	Mxi1	ENSMUST00000111737.3	chr19	+	2340	684	1656	1|1|1|1|684|2340
ENSMUSG00000025026.16	ENSMUSG00000025026	Add3	ENSMUST00000025999.7	chr19	+	4334	2118	2216	1|1|1|1|2118|4334
ENSMUSG00000025027.19	ENSMUSG00000025027	Xpnpep1	ENSMUST00000183108.8	chr19	-	4078	1998	2080	1|0|1|1|1998|4078
ENSMUSG00000025034.10	ENSMUSG00000025034	Trim8	ENSMUST00000026008.9	chr19	+	3580	1653	1927	1|1|1|1|1653|3580
ENSMUSG00000025035.10	ENSMUSG00000025035	Arl3	ENSMUST00000026009.10	chr19	-	843	546	297	1|1|1|1|546|843
ENSMUSG00000025036.8	ENSMUSG00000025036	Sfxn2	ENSMUST00000026011.8	chr19	+	3205	966	2239	1|1|1|1|966|3205
ENSMUSG00000025041.18	ENSMUSG00000025041	Nt5c2	ENSMUST00000168536.9	chr19	-	3728	1680	2048	1|1|1|1|1680|3728
ENSMUSG00000025047.10	ENSMUSG00000025047	Pdcd11	ENSMUST00000072141.4	chr19	+	6761	5586	1175	1|1|1|1|5586|6761
ENSMUSG00000025049.7	ENSMUSG00000025049	Taf5	ENSMUST00000026027.7	chr19	+	3260	2403	857	1|1|1|1|2403|3260
ENSMUSG00000025050.9	ENSMUSG00000025050	Pcgf6	ENSMUST00000026032.7	chr19	-	2159	1059	1100	1|1|1|1|1059|2159
ENSMUSG00000025060.16	ENSMUSG00000025060	Slk	ENSMUST00000051691.8	chr19	+	4239	3699	540	1|1|1|1|3699|4239
ENSMUSG00000025064.16	ENSMUSG00000025064	Col17a1	ENSMUST00000086923.6	chr19	-	5477	4299	1178	1|1|1|1|4299|5477
ENSMUSG00000025066.11	ENSMUSG00000025066	Sfr1	ENSMUST00000099353.6	chr19	+	1657	957	700	1|1|1|1|957|1657
ENSMUSG00000025068.9	ENSMUSG00000025068	Gsto1	ENSMUST00000026050.8	chr19	+	1182	720	462	1|1|1|1|720|1182
ENSMUSG00000025069.16	ENSMUSG00000025069	Gsto2	ENSMUST00000056159.11	chr19	+	1351	744	607	1|1|1|1|744|1351
ENSMUSG00000025075.15	ENSMUSG00000025075	Habp2	ENSMUST00000095948.11	chr19	+	2815	1551	1264	1|1|1|1|1551|2815
ENSMUSG00000025076.13	ENSMUSG00000025076	Casp7	ENSMUST00000026062.10	chr19	+	2350	909	1441	1|1|1|1|909|2350
ENSMUSG00000025077.14	ENSMUSG00000025077	Dclre1a	ENSMUST00000182276.2	chr19	-	4066	3141	925	1|1|1|1|3141|4066
ENSMUSG00000025078.10	ENSMUSG00000025078	Nhlrc2	ENSMUST00000071423.7	chr19	+	8591	2175	6416	1|1|1|1|2175|8591
ENSMUSG00000025081.14	ENSMUSG00000025081	Tdrd1	ENSMUST00000111604.2	chr19	+	5187	3516	1671	1|1|1|1|3516|5187
ENSMUSG00000025082.9	ENSMUSG00000025082	Vwa2	ENSMUST00000026068.8	chr19	+	4049	2373	1676	1|1|1|1|2373|4049
ENSMUSG00000025083.19	ENSMUSG00000025083	Afap1l2	ENSMUST00000122359.8	chr19	-	3667	2307	1360	1|1|1|1|2307|3667
